pop,hispanic_or_latino,white,black,native_american,asian,nhpi,other,two_or_more,sex_ratio,bachelors,income,foreign_born,age,county,state,margin
"55,639.000",0.029,0.740,0.195,0.003,0.012,0.000,0.002,0.020,0.946,0.255,"57,982",0.023,38.60,Autauga, Alabama,-0.44
"218,289.000",0.046,0.829,0.087,0.006,0.009,0.000,0.003,0.019,0.942,0.318,"61,756",0.034,43.20,Baldwin, Alabama,-0.54
"25,026.000",0.044,0.453,0.475,0.003,0.005,0.000,0.006,0.013,1.110,0.074,"34,990",0.026,40.10,Barbour, Alabama,-0.08
"22,374.000",0.027,0.744,0.222,0.001,0.003,0.000,0.000,0.004,1.160,0.096,"51,721",0.016,39.90,Bibb, Alabama,-0.58
"57,755.000",0.093,0.867,0.013,0.001,0.004,0.001,0.003,0.018,0.988,0.172,"48,922",0.044,41,Blount, Alabama,-0.80
"10,173.000",0.081,0.213,0.686,0.000,0.013,0.000,0.000,0.007,1.212,0.036,"33,866",0.015,39.70,Bullock, Alabama,0.50
"19,726.000",0.015,0.513,0.445,0.003,0.013,0.000,0.000,0.011,0.848,0.138,"44,850",0.019,41.20,Butler, Alabama,-0.16
"114,324.000",0.039,0.718,0.207,0.001,0.008,0.003,0.002,0.023,0.923,0.192,"50,128",0.025,39.50,Calhoun, Alabama,-0.39
"33,427.000",0.025,0.551,0.400,0.002,0.011,0.000,0.002,0.008,0.912,0.163,"43,875",0.019,41.90,Chambers, Alabama,-0.16
"26,035.000",0.017,0.913,0.048,0.006,0.001,0.000,0.000,0.015,0.980,0.107,"42,509",0.019,46.80,Cherokee, Alabama,-0.73
"44,147.000",0.078,0.799,0.097,0.000,0.004,0.000,0.004,0.018,0.949,0.103,"52,141",0.044,39.50,Chilton, Alabama,-0.67
"12,755.000",0.005,0.564,0.423,0.001,0.002,0.000,0.000,0.005,0.898,0.227,"36,634",0.009,46.60,Choctaw, Alabama,-0.16
"23,866.000",0.006,0.523,0.457,0.001,0.005,0.000,0.002,0.007,0.908,0.141,"37,345",0.003,42.90,Clarke, Alabama,-0.12
"13,285.000",0.031,0.804,0.153,0.000,0.002,0.000,0.000,0.009,0.931,0.068,"42,678",0.014,43.40,Clay, Alabama,-0.63
